name,url,dbname,code,lang
Esperanto Vikifontaro,https://eo.wikisource.org,eowikisource,wikisource,eo
Spanish Wikipedia,https://es.wikipedia.org,eswiki,wiki,es
Spanish Wikcionario,https://es.wiktionary.org,eswiktionary,wiktionary,es
Spanish Wikilibros,https://es.wikibooks.org,eswikibooks,wikibooks,es
Spanish Wikinoticias,https://es.wikinews.org,eswikinews,wikinews,es
Spanish Wikiquote,https://es.wikiquote.org,eswikiquote,wikiquote,es
Spanish Wikisource,https://es.wikisource.org,eswikisource,wikisource,es
Spanish Wikiversidad,https://es.wikiversity.org,eswikiversity,wikiversity,es
Spanish Wikiviajes,https://es.wikivoyage.org,eswikivoyage,wikivoyage,es
Estonian Vikipeedia,https://et.wikipedia.org,etwiki,wiki,et
Estonian Vikisõnastik,https://et.wiktionary.org,etwiktionary,wiktionary,et
Estonian Vikiõpikud,https://et.wikibooks.org,etwikibooks,wikibooks,et
Estonian Vikitsitaadid,https://et.wikiquote.org,etwikiquote,wikiquote,et
Estonian Vikitekstid,https://et.wikisource.org,etwikisource,wikisource,et
Basque Wikipedia,https://eu.wikipedia.org,euwiki,wiki,eu
Basque Wiktionary,https://eu.wiktionary.org,euwiktionary,wiktionary,eu
Basque Wikibooks,https://eu.wikibooks.org,euwikibooks,wikibooks,eu
Basque Wikiquote,https://eu.wikiquote.org,euwikiquote,wikiquote,eu
Basque Wikiteka,https://eu.wikisource.org,euwikisource,wikisource,eu
Extremaduran Güiquipeya,https://ext.wikipedia.org,extwiki,wiki,ext
Persian ویکی‌پدیا,https://fa.wikipedia.org,fawiki,wiki,fa
Persian ویکی‌واژه,https://fa.wiktionary.org,fawiktionary,wiktionary,fa
Persian ویکی‌کتاب,https://fa.wikibooks.org,fawikibooks,wikibooks,fa
Persian ویکی‌خبر,https://fa.wikinews.org,fawikinews,wikinews,fa
Persian ویکی‌گفتاورد,https://fa.wikiquote.org,fawikiquote,wikiquote,fa
Persian ویکی‌نبشته,https://fa.wikisource.org,fawikisource,wikisource,fa
Persian ویکی‌سفر,https://fa.wikivoyage.org,fawikivoyage,wikivoyage,fa
Fulah Wikipedia,https://ff.wikipedia.org,ffwiki,wiki,ff
Finnish Wikipedia,https://fi.wikipedia.org,fiwiki,wiki,fi
Finnish Wikisanakirja,https://fi.wiktionary.org,fiwiktionary,wiktionary,fi
Finnish Wikikirjasto,https://fi.wikibooks.org,fiwikibooks,wikibooks,fi
Finnish Wikiuutiset,https://fi.wikinews.org,fiwikinews,wikinews,fi
Finnish Wikisitaatit,https://fi.wikiquote.org,fiwikiquote,wikiquote,fi
Finnish Wikiaineisto,https://fi.wikisource.org,fiwikisource,wikisource,fi
Finnish Wikiopisto,https://fi.wikiversity.org,fiwikiversity,wikiversity,fi
Finnish Wikimatkat,https://fi.wikivoyage.org,fiwikivoyage,wikivoyage,fi
Võro Wikipedia,https://fiu-vro.wikipedia.org,fiu_vrowiki,wiki,vro
Fijian Wikipedia,https://fj.wikipedia.org,fjwiki,wiki,fj
Fijian Wiktionary,https://fj.wiktionary.org,fjwiktionary,wiktionary,fj
Faroese Wikipedia,https://fo.wikipedia.org,fowiki,wiki,fo
Faroese Wiktionary,https://fo.wiktionary.org,fowiktionary,wiktionary,fo
Faroese Wikiheimild,https://fo.wikisource.org,fowikisource,wikisource,fo
French Wikipédia,https://fr.wikipedia.org,frwiki,wiki,fr
French Wiktionnaire,https://fr.wiktionary.org,frwiktionary,wiktionary,fr
French Wikilivres,https://fr.wikibooks.org,frwikibooks,wikibooks,fr
French Wikinews,https://fr.wikinews.org,frwikinews,wikinews,fr
French Wikiquote,https://fr.wikiquote.org,frwikiquote,wikiquote,fr
French Wikisource,https://fr.wikisource.org,frwikisource,wikisource,fr
French Wikiversité,https://fr.wikiversity.org,frwikiversity,wikiversity,fr
French Wikivoyage,https://fr.wikivoyage.org,frwikivoyage,wikivoyage,fr
Arpitan Vouiquipèdia,https://frp.wikipedia.org,frpwiki,wiki,frp
Northern Frisian Wikipedia,https://frr.wikipedia.org,frrwiki,wiki,frr
Friulian Vichipedie,https://fur.wikipedia.org,furwiki,wiki,fur
Western Frisian Wikipedy,https://fy.wikipedia.org,fywiki,wiki,fy
Western Frisian Wiktionary,https://fy.wiktionary.org,fywiktionary,wiktionary,fy
Western Frisian Wikibooks,https://fy.wikibooks.org,fywikibooks,wikibooks,fy
Irish Vicipéid,https://ga.wikipedia.org,gawiki,wiki,ga
Irish Vicífhoclóir,https://ga.wiktionary.org,gawiktionary,wiktionary,ga
Irish Vicíleabhair,https://ga.wikibooks.org,gawikibooks,wikibooks,ga
Irish Vicísliocht,https://ga.wikiquote.org,gawikiquote,wikiquote,ga
Gagauz Vikipediya,https://gag.wikipedia.org,gagwiki,wiki,gag
Gan Chinese 維基百科,https://gan.wikipedia.org,ganwiki,wiki,gan
Scottish Gaelic Uicipeid,https://gd.wikipedia.org,gdwiki,wiki,gd
Scottish Gaelic Wiktionary,https://gd.wiktionary.org,gdwiktionary,wiktionary,gd
Galician Wikipedia,https://gl.wikipedia.org,glwiki,wiki,gl
Galician Wiktionary,https://gl.wiktionary.org,glwiktionary,wiktionary,gl
Galician Wikibooks,https://gl.wikibooks.org,glwikibooks,wikibooks,gl
Galician Wikiquote,https://gl.wikiquote.org,glwikiquote,wikiquote,gl
Galician Wikisource,https://gl.wikisource.org,glwikisource,wikisource,gl
Gilaki Wikipedia,https://glk.wikipedia.org,glkwiki,wiki,glk
Guarani Vikipetã,https://gn.wikipedia.org,gnwiki,wiki,gn
Guarani Wiktionary,https://gn.wiktionary.org,gnwiktionary,wiktionary,gn
Guarani Wikibooks,https://gn.wikibooks.org,gnwikibooks,wikibooks,gn
Goan Konkani विकिपीडिया,https://gom.wikipedia.org,gomwiki,wiki,gom
Gorontalo Wikipedia,https://gor.wikipedia.org,gorwiki,wiki,gor
Gothic Wikipedia,https://got.wikipedia.org,gotwiki,wiki,got
Gothic Wikibooks,https://got.wikibooks.org,gotwikibooks,wikibooks,got
Gujarati વિકિપીડિયા,https://gu.wikipedia.org,guwiki,wiki,gu
Gujarati વિકિકોશ,https://gu.wiktionary.org,guwiktionary,wiktionary,gu
Gujarati Wikibooks,https://gu.wikibooks.org,guwikibooks,wikibooks,gu
Gujarati વિકિસૂક્તિ,https://gu.wikiquote.org,guwikiquote,wikiquote,gu
Gujarati વિકિસ્રોત,https://gu.wikisource.org,guwikisource,wikisource,gu
Manx Wikipedia,https://gv.wikipedia.org,gvwiki,wiki,gv
Manx Wiktionary,https://gv.wiktionary.org,gvwiktionary,wiktionary,gv
Hausa Wikipedia,https://ha.wikipedia.org,hawiki,wiki,ha
Hausa Wiktionary,https://ha.wiktionary.org,hawiktionary,wiktionary,ha
Hakka Chinese Wikipedia,https://hak.wikipedia.org,hakwiki,wiki,hak
Hawaiian Wikipedia,https://haw.wikipedia.org,hawwiki,wiki,haw
Hebrew ויקיפדיה,https://he.wikipedia.org,hewiki,wiki,he
Hebrew ויקימילון,https://he.wiktionary.org,hewiktionary,wiktionary,he
Hebrew ויקיספר,https://he.wikibooks.org,hewikibooks,wikibooks,he
Hebrew ויקיחדשות,https://he.wikinews.org,hewikinews,wikinews,he
Hebrew ויקיציטוט,https://he.wikiquote.org,hewikiquote,wikiquote,he
Hebrew ויקיטקסט,https://he.wikisource.org,hewikisource,wikisource,he
Hebrew ויקימסע,https://he.wikivoyage.org,hewikivoyage,wikivoyage,he
Hindi विकिपीडिया,https://hi.wikipedia.org,hiwiki,wiki,hi
Hindi विक्षनरी,https://hi.wiktionary.org,hiwiktionary,wiktionary,hi
Hindi Wikibooks,https://hi.wikibooks.org,hiwikibooks,wikibooks,hi
Hindi विकिसूक्ति,https://hi.wikiquote.org,hiwikiquote,wikiquote,hi
Hindi विकिविश्वविद्यालय,https://hi.wikiversity.org,hiwikiversity,wikiversity,hi
Hindi विकियात्रा,https://hi.wikivoyage.org,hiwikivoyage,wikivoyage,hi
Fiji Hindi Wikipedia,https://hif.wikipedia.org,hifwiki,wiki,hif
Fiji Hindi Sabdkosh,https://hif.wiktionary.org,hifwiktionary,wiktionary,hif
Hiri Motu Wikipedia,https://ho.wikipedia.org,howiki,wiki,ho
Croatian Wikipedija,https://hr.wikipedia.org,hrwiki,wiki,hr
Croatian Wiktionary,https://hr.wiktionary.org,hrwiktionary,wiktionary,hr
Croatian Wikibooks,https://hr.wikibooks.org,hrwikibooks,wikibooks,hr
Croatian Wikicitat,https://hr.wikiquote.org,hrwikiquote,wikiquote,hr
Croatian Wikizvor,https://hr.wikisource.org,hrwikisource,wikisource,hr
Upper Sorbian Wikipedija,https://hsb.wikipedia.org,hsbwiki,wiki,hsb
Upper Sorbian Wikisłownik,https://hsb.wiktionary.org,hsbwiktionary,wiktionary,hsb
Haitian Creole Wikipedya,https://ht.wikipedia.org,htwiki,wiki,ht
Haitian Creole Wikisòrs,https://ht.wikisource.org,htwikisource,wikisource,ht
Hungarian Wikipédia,https://hu.wikipedia.org,huwiki,wiki,hu
Hungarian Wikiszótár,https://hu.wiktionary.org,huwiktionary,wiktionary,hu
Hungarian Wikikönyvek,https://hu.wikibooks.org,huwikibooks,wikibooks,hu
Hungarian Wikihírek,https://hu.wikinews.org,huwikinews,wikinews,hu
Hungarian Wikidézet,https://hu.wikiquote.org,huwikiquote,wikiquote,hu
Hungarian Wikiforrás,https://hu.wikisource.org,huwikisource,wikisource,hu
Armenian Վիքիպեդիա,https://hy.wikipedia.org,hywiki,wiki,hy
Armenian Վիքիբառարան,https://hy.wiktionary.org,hywiktionary,wiktionary,hy
Armenian Վիքիգրքեր,https://hy.wikibooks.org,hywikibooks,wikibooks,hy
Armenian Վիքիքաղվածք,https://hy.wikiquote.org,hywikiquote,wikiquote,hy
Armenian Վիքիդարան,https://hy.wikisource.org,hywikisource,wikisource,hy
Western Armenian Ուիքիփետիա,https://hyw.wikipedia.org,hywwiki,wiki,hyw
Herero Wikipedia,https://hz.wikipedia.org,hzwiki,wiki,hz
Interlingua Wikipedia,https://ia.wikipedia.org,iawiki,wiki,ia
Interlingua Wiktionario,https://ia.wiktionary.org,iawiktionary,wiktionary,ia
Interlingua Wikibooks,https://ia.wikibooks.org,iawikibooks,wikibooks,ia
Indonesian Wikipedia,https://id.wikipedia.org,idwiki,wiki,id
Indonesian Wiktionary,https://id.wiktionary.org,idwiktionary,wiktionary,id
Indonesian Wikibuku,https://id.wikibooks.org,idwikibooks,wikibooks,id
Indonesian Wikiquote,https://id.wikiquote.org,idwikiquote,wikiquote,id
Indonesian Wikisource,https://id.wikisource.org,idwikisource,wikisource,id
Interlingue Wikipedia,https://ie.wikipedia.org,iewiki,wiki,ie
Interlingue Wiktionary,https://ie.wiktionary.org,iewiktionary,wiktionary,ie
Interlingue Wikibooks,https://ie.wikibooks.org,iewikibooks,wikibooks,ie
Igbo Wikipedia,https://ig.wikipedia.org,igwiki,wiki,ig
Sichuan Yi Wikipedia,https://ii.wikipedia.org,iiwiki,wiki,ii
Inupiaq Wikipedia,https://ik.wikipedia.org,ikwiki,wiki,ik
Inupiaq Wiktionary,https://ik.wiktionary.org,ikwiktionary,wiktionary,ik
Iloko Wikipedia,https://ilo.wikipedia.org,ilowiki,wiki,ilo
Ingush Википеди,https://inh.wikipedia.org,inhwiki,wiki,inh
Ido Wikipedio,https://io.wikipedia.org,iowiki,wiki,io
Ido Wikivortaro,https://io.wiktionary.org,iowiktionary,wiktionary,io
Icelandic Wikipedia,https://is.wikipedia.org,iswiki,wiki,is
Icelandic Wikiorðabók,https://is.wiktionary.org,iswiktionary,wiktionary,is
Icelandic Wikibækur,https://is.wikibooks.org,iswikibooks,wikibooks,is
Icelandic Wikivitnun,https://is.wikiquote.org,iswikiquote,wikiquote,is
Icelandic Wikiheimild,https://is.wikisource.org,iswikisource,wikisource,is
Italian Wikipedia,https://it.wikipedia.org,itwiki,wiki,it
Italian Wikizionario,https://it.wiktionary.org,itwiktionary,wiktionary,it
Italian Wikibooks,https://it.wikibooks.org,itwikibooks,wikibooks,it
Italian Wikinotizie,https://it.wikinews.org,itwikinews,wikinews,it
Italian Wikiquote,https://it.wikiquote.org,itwikiquote,wikiquote,it
Italian Wikisource,https://it.wikisource.org,itwikisource,wikisource,it
Italian Wikiversità,https://it.wikiversity.org,itwikiversity,wikiversity,it
Italian Wikivoyage,https://it.wikivoyage.org,itwikivoyage,wikivoyage,it
Inuktitut ᐅᐃᑭᐱᑎᐊ,https://iu.wikipedia.org,iuwiki,wiki,iu
Inuktitut Wiktionary,https://iu.wiktionary.org,iuwiktionary,wiktionary,iu
Japanese Wikipedia,https://ja.wikipedia.org,jawiki,wiki,ja
Japanese Wiktionary,https://ja.wiktionary.org,jawiktionary,wiktionary,ja
Japanese Wikibooks,https://ja.wikibooks.org,jawikibooks,wikibooks,ja
Japanese ウィキニュース,https://ja.wikinews.org,jawikinews,wikinews,ja
Japanese Wikiquote,https://ja.wikiquote.org,jawikiquote,wikiquote,ja
